model_temperature,no_rag_0,no_rag_1,no_rag_3,no_rag_5,rag_0,rag_1,rag_3,rag_5,difference
anthropic-claude-3-haiku_0.0,0.511,0.514,0.514,0.514,0.508,0.708,0.539,0.509,0.212
anthropic-claude-3-haiku_0.5,0.538,0.641,0.600,0.579,0.584,0.616,0.671,0.548,0.062
anthropic-claude-3-haiku_1.0,0.611,0.627,0.693,0.708,0.680,0.597,0.630,0.639,-0.093
anthropic-claude-3-opus_0.0,0.767,0.787,0.952,0.873,0.664,0.696,0.841,0.926,-0.252
anthropic-claude-3-opus_0.5,0.723,0.812,0.831,0.813,0.751,0.702,0.839,0.870,-0.017
anthropic-claude-3-opus_1.0,0.784,0.768,0.832,0.757,0.790,0.753,0.762,0.805,-0.031
anthropic-claude-3-sonnet_0.0,0.514,0.522,0.914,0.560,0.514,0.761,0.797,0.000,-0.438
anthropic-claude-3-sonnet_0.5,0.540,0.579,0.557,0.594,0.614,0.580,0.591,0.569,0.084
anthropic-claude-3-sonnet_1.0,0.562,0.619,0.601,0.625,0.656,0.580,0.606,0.539,-0.027
anthropic-claude-v1-100k_0.0,0.521,0.000,0.000,0.000,0.943,0.513,0.000,0.519,1.454
anthropic-claude-v1-100k_0.5,0.563,0.000,0.000,0.000,0.776,0.613,0.701,0.658,2.184
anthropic-claude-v1-100k_1.0,0.540,0.000,0.000,0.508,0.768,0.618,0.664,0.591,1.593
anthropic-claude-v2-100k_0.0,0.837,0.833,0.727,0.657,0.542,0.564,0.807,0.851,-0.291
anthropic-claude-v2-100k_0.5,0.732,0.841,0.819,0.608,0.683,0.674,0.670,0.799,-0.173
anthropic-claude-v2-100k_1.0,0.690,0.824,0.850,0.721,0.668,0.633,0.663,0.740,-0.381
